ensemblGeneID	raw.CON1	raw.CON2	raw.CON3	raw.DA1	raw.DA2	raw.DA3	norm.CON1	norm.CON2	norm.CON3	norm.DA1	norm.DA2	norm.DA3	tpm.CON1	tpm.CON2	tpm.CON3	tpm.DA1	tpm.DA2	tpm.DA3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FBgn0263111	2118	1776	2121	73866	73769	85600	2329.28064973088	2200.06244624791	2103.91704327763	77815.9675130233	99387.6229941685	97492.5158513233	4.13353024591097	3.87211192942	3.67334903985265	146.529930890262	187.291795423987	202.590714987611	38208.0663062763	-5.37205460700048	0.118071842106446	-45.4981857753807	0	0
FBgn0000575	2155	2242	3603	94344	73384	89422	2369.97157703969	2777.33108360801	3573.98071991009	99389.0238952788	98868.9195434947	101845.511126834	22.3772471121097	26.0078689941785	33.2009117016413	995.772820088567	991.312212318776	1126.04143298824	36002.9472483696	-5.10452086496251	0.166108372429519	-30.7300636945823	2.25831273356464e-207	1.10984779291034e-203
FBgn0004133	197	129	184	4030	2751	3243	216.651694049568	159.801833088953	182.518027328187	4245.50333140394	3706.37192935999	3693.55407600282	1.59250822088738	1.16497054376558	1.31995657600703	33.1136536481217	28.9304866935449	31.7916459990093	1446.99171771625	-4.37860032819229	0.144460897014403	-30.3099345129758	8.48051563187697e-202	2.77849960485729e-198
FBgn0003308	71	64	100	4621	3954	2929	78.0825902412147	79.2815295945193	99.1945800696667	4868.10692169172	5327.15180250433	3335.92966037998	0.348313468752134	0.350753223401711	0.435349734344832	23.0427595039154	25.234707619237	17.4253656382442	2456.42291846668	-5.71665232937345	0.20980632153433	-27.247283530673	1.78970826317413e-163	4.39776062968464e-160
FBgn0031381	5791	4934	6753	39251	27829	30630	6368.68000122358	6112.11042217748	6698.60999210459	41349.938278148	37493.5021527297	34885.4644921265	189.266572801251	180.14792975454	195.858970367203	1303.94020991156	1183.2258429474	1213.99796409494	17223.9162258669	-2.56786027343557	0.0949057789102636	-27.0569432432936	3.16456241667722e-161	6.22089679870408e-158
FBgn0020300	28	45	30	2047	1659	1814	30.793134179634	55.7448254961464	29.7583740209	2156.46285840791	2235.14032381252	2066.02130554089	0.452005753396997	0.811536808198915	0.429767480543294	33.5884817236809	34.8403099608208	35.511892933555	739.934802888945	-5.81670491012343	0.219843727511202	-26.458361928143	2.92372750462579e-154	4.78955294049447e-151
FBgn0033913	333	281	402	5269	4101	3637	366.218345779218	348.095465875936	398.76221188006	5550.75857398694	5525.20221094342	4142.29299242129	1.78871328606973	1.68621363410437	1.91623565447393	28.7681077666918	28.6573456016553	23.6913827349638	3042.63729109485	-3.77186469016065	0.148657716269656	-25.3728147102618	5.03394030368173e-142	7.06837132069825e-139
FBgn0005636	30	47	50	3561	2970	2769	32.9926437638935	58.2223732959751	49.5972900348334	3751.42366330756	4001.42661948353	3153.70065878872	0.186309601881799	0.326078089905234	0.275556304415286	22.4787706276924	23.9949652339878	20.8539125155053	3139.65070993733	-6.27989310554393	0.247921444949923	-25.3301730586976	1.48635131900065e-141	1.82616838930717e-138
FBgn0035070	11	0	6	3718	3233	3142	12.0973027134276	0	5.95167480418	3916.81920252106	4355.76170396978	3578.52201874834	0.193903994932822	0	0.0938580844003416	66.6177646816445	74.1394685972343	67.1662127543157	1322.0589345379	-9.31017188698285	0.38228305877177	-24.3541315089801	5.24153609552173e-131	5.72433980920923e-128
FBgn0000636	716	747	1066	13896	13122	20268	787.424431164926	925.36410323603	1057.41422354265	14639.0854325532	17679.0303369909	23083.8587765727	3.73017004872416	4.34756403506915	4.92832315502417	73.5854606270914	88.9334897456553	128.049271607984	12920.1428168683	-4.32152417850785	0.179091664232736	-24.1302363067656	1.20414847640769e-128	1.18355753746111e-125
